Target,Content,Well,Sample,Sex,Life_Status,Life_Stage_Code,Life_Stage,Cq,Cq.Mean,Delta.Cq,Cq.Std..Dev,SQ,Log.Starting.Quantity,SQ.Mean,SQ.Std.Dev,Copy_Number,CN.norm
IGF2,Unkn-05,E4,Adult L4,F,Animal,8,Adult,26.37942035,26.42473006,0.04530971,0.070621414,6357.80597,3.80330727,6154.662471,315.2251569,211926.8657,-1033321.327
EEF2,Unkn-05,E5,Adult L4,F,Animal,8,Adult,24.4851272,24.55988513,0.07475793,0.094343168,38612.45735,4.586727442,36543.34814,2574.572759,1287081.912,
IGF1,Unkn-05,E5,Adult L4,F,Animal,8,Adult,28.19844767,28.27868099,0.08023332,0.077685406,1428.380121,3.154843797,1350.294838,75.02620183,47612.6707,-1239469.241
IGF2,Unkn-05,E5,Adult L4,F,Animal,8,Adult,26.38866816,26.42473006,0.0360619,0.070621414,6314.656084,3.800349702,6154.662471,315.2251569,210488.5361,-1076593.376
EEF2,Unkn-05,E6,Adult L4,F,Animal,8,Adult,24.66588677,24.55988513,0.10600164,0.094343168,33660.14127,4.527115934,36543.34814,2574.572759,1122004.709,
IGF1,Unkn-05,E6,Adult L4,F,Animal,8,Adult,28.35353931,28.27868099,0.07485832,0.077685406,1278.756852,3.106787974,1350.294838,75.02620183,42625.2284,-1079379.481
IGF2,Unkn-05,E6,Adult L4,F,Animal,8,Adult,26.50610167,26.42473006,0.08137161,0.070621414,5791.52536,3.762792962,6154.662471,315.2251569,193050.8453,-928953.8637
EEF2,Unkn-09,A7,Adult L5,M,Animal,8,Adult,27.0724414,27.0779436,0.0055022,0.038632716,5538.352019,3.743380556,5516.842512,161.3016453,184611.734,
IGF1,Unkn-09,A7,Adult L5,M,Animal,8,Adult,29.27978073,29.27685747,0.00292326,0.060014952,612.0137664,2.786761191,613.6816889,26.50476519,20400.45888,-164211.2751
IGF2,Unkn-09,A7,Adult L5,M,Animal,8,Adult,27.12469564,27.10411027,0.02058537,0.060936474,3638.324609,3.560901444,3696.399206,167.5019458,121277.487,-63334.247
EEF2,Unkn-09,A8,Adult L5,M,Animal,8,Adult,27.11903243,27.0779436,0.04108883,0.038632716,5345.86533,3.728018014,5516.842512,161.3016453,178195.511,
IGF1,Unkn-09,A8,Adult L5,M,Animal,8,Adult,29.33535737,29.27685747,0.0584999,0.060014952,588.0502746,2.769414457,613.6816889,26.50476519,19601.67582,-158593.8352
IGF2,Unkn-09,A8,Adult L5,M,Animal,8,Adult,27.15208795,27.10411027,0.04797768,0.060936474,3565.663516,3.552140357,3696.399206,167.5019458,118855.4505,-59340.0605
EEF2,Unkn-09,A9,Adult L5,M,Animal,8,Adult,27.04235698,27.0779436,0.03558662,0.038632716,5666.310188,3.753300345,5516.842512,161.3016453,188877.0063,
IGF1,Unkn-09,A9,Adult L5,M,Animal,8,Adult,29.21543431,29.27685747,0.06142316,0.060014952,640.9810257,2.806845174,613.6816889,26.50476519,21366.03419,-167510.9721
IGF2,Unkn-09,A9,Adult L5,M,Animal,8,Adult,27.03554722,27.10411027,0.06856305,0.060936474,3885.209492,3.589414441,3696.399206,167.5019458,129506.9831,-59370.0232
EEF2,Unkn-16,H7,Adult L6,M,Animal,8,Adult,26.61106932,26.59005579,0.02101353,0.018999221,7861.575435,3.895509586,7988.559641,114.9227767,262052.5145,
IGF1,Unkn-16,H7,Adult L6,M,Animal,8,Adult,28.48910381,28.49596783,0.00686402,0.035717425,1080.312618,3.033549449,1075.23202,27.50014675,36010.4206,-226042.0939
IGF2,Unkn-16,H7,Adult L6,M,Animal,8,Adult,26.95110308,26.91467423,0.03642885,0.031550986,4134.498426,3.616422831,4247.681503,98.02807471,137816.6142,-124235.9003
EEF2,Unkn-16,H8,Adult L6,M,Animal,8,Adult,26.57409063,26.59005579,0.01596516,0.018999221,8085.420939,3.907702635,7988.559641,114.9227767,269514.0313,
IGF1,Unkn-16,H8,Adult L6,M,Animal,8,Adult,28.53461913,28.49596783,0.0386513,0.035717425,1045.545843,3.01934308,1075.23202,27.50014675,34851.5281,-234662.5032
IGF2,Unkn-16,H8,Adult L6,M,Animal,8,Adult,26.89604889,26.91467423,0.01862534,0.031550986,4305.575616,3.634031221,4247.681503,98.02807471,143519.1872,-125994.8441
EEF2,Unkn-16,H9,Adult L6,M,Animal,8,Adult,26.58500743,26.59005579,0.00504836,0.018999221,8018.682548,3.904103021,7988.559641,114.9227767,267289.4183,
IGF1,Unkn-16,H9,Adult L6,M,Animal,8,Adult,28.46418055,28.49596783,0.03178728,0.035717425,1099.8376,3.041328563,1075.23202,27.50014675,36661.25333,-230628.165
IGF2,Unkn-16,H9,Adult L6,M,Animal,8,Adult,26.89687073,26.91467423,0.0178035,0.031550986,4302.970468,3.633768365,4247.681503,98.02807471,143432.3489,-123857.0694
EEF2,Unkn-21,E10,Adult L7,F,Animal,8,Adult,25.3984615,25.4948269,0.0963654,0.095453152,19298.562,4.28552495,17968.25902,1302.903288,643285.4,
IGF1,Unkn-21,E10,Adult L7,F,Animal,8,Adult,30.21942892,30.28058027,0.06115135,0.065338442,337.7799855,2.528633913,323.593348,15.01947692,11259.33285,-632026.0672
IGF2,Unkn-21,E10,Adult L7,F,Animal,8,Adult,26.81026077,26.87139941,0.06113864,0.081686199,4629.338961,3.665518981,4430.824452,262.4272229,154311.2987,-488974.1013
EEF2,Unkn-21,E11,Adult L7,F,Animal,8,Adult,25.49667834,25.4948269,0.00185144,0.095453152,17911.61182,4.253134669,17968.25902,1302.903288,597053.7273,
IGF1,Unkn-21,E11,Adult L7,F,Animal,8,Adult,30.27288719,30.28058027,0.00769308,0.065338442,325.139426,2.512069635,323.593348,15.01947692,10837.98087,-586215.7464
IGF2,Unkn-21,E11,Adult L7,F,Animal,8,Adult,26.83976595,26.87139941,0.03163346,0.081686199,4529.839837,3.656082847,4430.824452,262.4272229,150994.6612,-446059.0661
EEF2,Unkn-21,E12,Adult L7,F,Animal,8,Adult,25.58934087,25.4948269,0.09451397,0.095453152,16694.60325,4.222576102,17968.25902,1302.903288,556486.775,
IGF1,Unkn-21,E12,Adult L7,F,Animal,8,Adult,30.34942468,30.28058027,0.06884441,0.065338442,307.8606326,2.488354157,323.593348,15.01947692,10262.02109,-546224.7539
IGF2,Unkn-21,E12,Adult L7,F,Animal,8,Adult,26.96417151,26.87139941,0.0927721,0.081686199,4133.294558,3.616296356,4430.824452,262.4272229,137776.4853,-418710.2897
EEF2,Unkn-13,E7,Adult L8,F,Animal,8,Adult,25.03801785,24.99558426,0.04243359,0.124652526,25953.42187,4.414194626,26884.4047,2595.076094,865114.0623,
IGF1,Unkn-13,E7,Adult L8,F,Animal,8,Adult,30.52079035,30.47861968,0.04217067,0.059038152,250.8498544,2.399413853,258.7252396,11.09670605,8361.661813,-856752.4005
IGF2,Unkn-13,E7,Adult L8,F,Animal,8,Adult,27.09993137,27.05167165,0.04825972,0.071851989,3705.288098,3.568821981,3842.965196,206.2316099,123509.6033,-741604.459
EEF2,Unkn-13,E8,Adult L8,F,Animal,8,Adult,25.09347999,24.99558426,0.09789573,0.124652526,24883.24389,4.395906996,26884.4047,2595.076094,829441.463,
IGF1,Unkn-13,E8,Adult L8,F,Animal,8,Adult,30.50392107,30.47861968,0.02530139,0.059038152,253.909612,2.404679142,258.7252396,11.09670605,8463.653733,-820977.8093
IGF2,Unkn-13,E8,Adult L8,F,Animal,8,Adult,27.08598798,27.05167165,0.03431633,0.071851989,3743.532418,3.573281598,3842.965196,206.2316099,124784.4139,-704657.0491
EEF2,Unkn-13,E9,Adult L8,F,Animal,8,Adult,24.85525493,24.99558426,0.14032933,0.124652526,29816.54833,4.474457366,26884.4047,2595.076094,993884.9443,
IGF1,Unkn-13,E9,Adult L8,F,Animal,8,Adult,30.41114761,30.47861968,0.06747207,0.059038152,271.4162525,2.43363585,258.7252396,11.09670605,9047.208417,-984837.7359
IGF2,Unkn-13,E9,Adult L8,F,Animal,8,Adult,26.96909559,27.05167165,0.08257606,0.071851989,4080.075072,3.610668154,3842.965196,206.2316099,136002.5024,-857882.4419
EEF2,Unkn-10,B7,286,F,Animal,5,Day 0,26.56301211,26.61954956,0.05653745,0.347116707,7970.315107,3.901475492,6717.062646,1635.95191,265677.1702,265677.1702
IGF1,Unkn-10,B7,286,F,Animal,5,Day 0,35.12698445,35.06376034,0.06322411,0.103945961,10.18606302,1.008006359,10.31897744,0.770948451,339.535434,-265337.6348
IGF2,Unkn-10,B7,286,F,Animal,5,Day 0,30.16487657,30.24962312,0.08474655,0.210982548,391.4441882,2.592669849,341.4638411,52.12274925,13048.13961,-252629.0306
EEF2,Unkn-10,B9,286,F,Animal,5,Day 0,26.67608701,26.61954956,0.05653745,0.347116707,7314.510495,3.864185267,6717.062646,1635.95191,243817.0165,
IGF1,Unkn-10,B9,286,F,Animal,5,Day 0,35.00053623,35.06376034,0.06322411,0.103945961,11.14774156,1.047186892,10.31897744,0.770948451,371.5913853,-243445.4251
IGF2,Unkn-10,B9,286,F,Animal,5,Day 0,30.33436967,30.24962312,0.08474655,0.210982548,345.5125149,2.538463783,341.4638411,52.12274925,11517.08383,-232299.9327
EEF2,Unkn-04,D4,289,F,Animal,5,Day 0,25.62355431,25.36216945,0.26138486,0.314924505,16266.46104,4.211293077,20229.49426,5016.753761,542215.368,
IGF1,Unkn-04,D4,289,F,Animal,5,Day 0,30.85223474,30.41966904,0.4325657,0.379260083,215.0583269,2.332556263,299.668182,74.68217897,7168.610897,-535046.7571
IGF2,Unkn-04,D4,289,F,Animal,5,Day 0,29.80919856,29.87974851,0.07054995,0.103251469,508.6513917,2.706420237,483.8184124,35.98983856,16955.04639,-525260.3216
EEF2,Unkn-04,D5,289,F,Animal,5,Day 0,25.01253432,25.36216945,0.34963513,0.314924505,25870.05365,4.412797329,20229.49426,5016.753761,862335.1217,
IGF1,Unkn-04,D5,289,F,Animal,5,Day 0,30.14419666,30.41966904,0.27547238,0.379260083,356.4059599,2.551944958,299.668182,74.68217897,11880.19866,-850454.923
IGF2,Unkn-04,D5,289,F,Animal,5,Day 0,29.83178951,29.87974851,0.047959,0.103251469,500.2595185,2.699195361,483.8184124,35.98983856,16675.31728,-845659.8044
EEF2,Unkn-04,D6,289,F,Animal,5,Day 0,25.45041973,25.36216945,0.08825028,0.314924505,18551.96809,4.268389989,20229.49426,5016.753761,618398.9363,
IGF1,Unkn-04,D6,289,F,Animal,5,Day 0,30.26257572,30.41966904,0.15709332,0.379260083,327.5402592,2.515264688,299.668182,74.68217897,10918.00864,-607480.9277
IGF2,Unkn-04,D6,289,F,Animal,5,Day 0,29.99825746,29.87974851,0.11850895,0.103251469,442.5443269,2.645956778,483.8184124,35.98983856,14751.47756,-603647.4587
EEF2,Unkn-15,G8,290,M,Animal,5,Day 0,25.92373324,25.81884465,0.10488859,0.443601794,12950.87323,4.112299052,17620.18612,6251.518797,431695.7743,
IGF1,Unkn-15,G8,290,M,Animal,5,Day 0,32.40122244,32.16573042,0.23549202,0.488398768,71.21896285,1.852595645,104.611949,36.12287537,2373.965428,-429321.8089
IGF2,Unkn-15,G8,290,M,Animal,5,Day 0,29.77096164,29.71901996,0.051941685,0.341123058,523.1773029,2.718648895,641.1940106,169.6693966,17439.24343,-414256.5309
EEF2,Unkn-15,G9,290,M,Animal,5,Day 0,25.71395606,25.81884465,0.10488859,0.443601794,15187.2829,4.181480083,17620.18612,6251.518797,506242.7633,
IGF1,Unkn-15,G9,290,M,Animal,5,Day 0,31.9302384,32.16573042,0.23549202,0.488398768,99.66257676,1.998532112,104.611949,36.12287537,3322.085892,-502920.6774
IGF2,Unkn-15,G9,290,M,Animal,5,Day 0,29.66707827,29.71901996,0.051941685,0.341123058,564.7706597,2.751872127,641.1940106,169.6693966,18825.68866,-487417.0746
EEF2,Unkn-05,E5,293,F,Animal,5,Day 0,25.51677391,25.48796203,0.02881188,0.447230928,18044.03015,4.256333544,15716.74581,4746.991629,601467.6717,
IGF1,Unkn-05,E5,293,F,Animal,5,Day 0,34.20424354,33.96934786,0.23489568,0.431576586,17.77150926,1.249724312,18.69562777,5.806762127,592.383642,-600875.2881
IGF2,Unkn-05,E5,293,F,Animal,5,Day 0,29.32183016,29.3398799,0.018049735,0.421296737,721.3992603,2.858175693,613.3342331,171.045603,24046.64201,-577421.0297
EEF2,Unkn-05,E6,293,F,Animal,5,Day 0,25.45915015,25.48796203,0.02881188,0.447230928,18850.97989,4.27533393,15716.74581,4746.991629,628365.9963,
IGF1,Unkn-05,E6,293,F,Animal,5,Day 0,33.73445218,33.96934786,0.23489568,0.431576586,24.90903384,1.396356883,18.69562777,5.806762127,830.301128,-627535.6952
IGF2,Unkn-05,E6,293,F,Animal,5,Day 0,29.35792963,29.3398799,0.018049735,0.421296737,702.4731578,2.846629734,613.3342331,171.045603,23415.77193,-604950.2244
EEF2,Unkn-19,C10,27L,M,Animal,5,Day 0,25.81029796,25.69785431,0.11244365,0.112166976,14439.40643,4.159549341,15764.2976,1340.866835,481313.5477,
IGF1,Unkn-19,C10,27L,M,Animal,5,Day 0,34.15527569,33.88258914,0.27268655,0.242577281,18.40807147,1.265008292,22.61496779,3.773987439,613.6023823,-480699.9453
IGF2,Unkn-19,C10,27L,M,Animal,5,Day 0,28.6592681,28.56073116,0.09853694,0.087788384,1175.13512,3.070087806,1265.32705,80.60011613,39171.17067,-442142.377
EEF2,Unkn-19,C11,27L,M,Animal,5,Day 0,25.58596607,25.69785431,0.11188824,0.112166976,17120.58856,4.233518691,15764.2976,1340.866835,570686.2853,
IGF1,Unkn-19,C11,27L,M,Animal,5,Day 0,33.80170099,33.88258914,0.08088815,0.242577281,23.73378467,1.375366998,22.61496779,3.773987439,791.1261557,-569895.1591
IGF2,Unkn-19,C11,27L,M,Animal,5,Day 0,28.49085556,28.56073116,0.0698756,0.087788384,1330.3087,3.123952431,1265.32705,80.60011613,44343.62333,-526342.662
EEF2,Unkn-19,C12,27L,M,Animal,5,Day 0,25.6972989,25.69785431,0.00055541,0.112166976,15732.8978,4.196808721,15764.2976,1340.866835,524429.9267,
IGF1,Unkn-19,C12,27L,M,Animal,5,Day 0,33.69079073,33.88258914,0.19179841,0.242577281,25.70304722,1.409984614,22.61496779,3.773987439,856.7682407,-523573.1585
IGF2,Unkn-19,C12,27L,M,Animal,5,Day 0,28.53206982,28.56073116,0.02866134,0.087788384,1290.537331,3.110770572,1265.32705,80.60011613,43017.91103,-481412.0157
EEF2,Unkn-11,C7,38L,F,Animal,5,Day 0,27.00739788,27.04231818,0.0349203,0.05291853,5687.539744,3.754924444,5541.665218,220.1283124,189584.6581,
IGF1,Unkn-11,C7,38L,F,Animal,5,Day 0,35.40871091,35.41278749,0.00407658,0.396586933,8.331288643,0.920712181,8.529943432,2.384648383,277.7096214,-189306.9485
IGF2,Unkn-11,C7,38L,F,Animal,5,Day 0,30.59573279,30.52813666,0.06759613,0.082496214,285.0207697,2.454876509,299.9390967,18.43467653,9500.692323,-180083.9658
EEF2,Unkn-11,C8,38L,F,Animal,5,Day 0,27.10320413,27.04231818,0.06088595,0.05291853,5288.458876,3.723329132,5541.665218,220.1283124,176281.9625,
IGF1,Unkn-11,C8,38L,F,Animal,5,Day 0,35.01825456,35.41278749,0.39453293,0.396586933,11.00770521,1.04169679,8.529943432,2.384648383,366.923507,-175915.039
IGF2,Unkn-11,C8,38L,F,Animal,5,Day 0,30.55246517,30.52813666,0.02432851,0.082496214,294.2483577,2.468714048,299.9390967,18.43467653,9808.27859,-166473.6839
EEF2,Unkn-11,C9,38L,F,Animal,5,Day 0,27.01635254,27.04231818,0.02596564,0.05291853,5648.997035,3.751971347,5541.665218,220.1283124,188299.9012,
IGF1,Unkn-11,C9,38L,F,Animal,5,Day 0,35.811397,35.41278749,0.39860951,0.396586933,6.250836443,0.795938135,8.529943432,2.384648383,208.3612148,-188091.54
IGF2,Unkn-11,C9,38L,F,Animal,5,Day 0,30.43621203,30.52813666,0.09192463,0.082496214,320.5481628,2.505893292,299.9390967,18.43467653,10684.93876,-177614.9624
EEF2,Unkn-03,C5,50L,M,Animal,5,Day 0,26.94136289,27.06574329,0.124380395,0.270572961,6117.88496,3.786601306,6272.69248,1292.099334,203929.4987,
IGF1,Unkn-03,C5,50L,M,Animal,5,Day 0,33.80093559,34.47592204,0.674986445,3.501290901,23.7468439,1.375605897,361.7812627,598.3092545,791.5614633,-203137.9372
